"No. overall","No. in season","Title","Directed by","Written by","Original air date","Japan viewers (millions)"
"30","1","%INLINEQ%孤高のハケンの女医・大門未知子がついに帰ってきた!X史上最も危険な敵が君臨する白い巨塔に鋭いメスを入れる!!%INLINEQ%","Miho Nakazono","Naoki Tamura","October 13, 2016","20.4%"
"31","2","%INLINEQ%貧乏村長vsセコい国会議員オペ...Wで失敗しないので%INLINEQ%","Makoto Hayashi","Naoki Tamura","October 20, 2016","19.7%"
"32","3","%INLINEQ%20年前の医療ミス!?不倫相手のお腹の秘密%INLINEQ%","Toshio Terada","Hidetomo Matsuda","October 27, 2016","24.3%"
"33","4","%INLINEQ%美人姉妹同時刻オペ!!太る病気の秘密!?%INLINEQ%","Takafumi Kosaka","Hidetomo Matsuda","November 3, 2016","21.3%"
"34","5","%INLINEQ%派閥争い パワハラ手術も失敗しないので!!%INLINEQ%","Makoto Hayashi","Naoki Tamura","November 10, 2016","20.4%"
"35","6","%INLINEQ%御意男のクーデター!!メスなき心臓手術!?%INLINEQ%","Makoto Hayashi","Hidetomo Matsuda","November 17, 2016","21.5%"
"36","7","%INLINEQ%音をなくしたピアニストの命とプライド%INLINEQ%","Toshio Terada","Naoki Tamura","November 24, 2016","22.8%"
"37","8","%INLINEQ%ウイルス感染…! 手術不可能な密室!?%INLINEQ%","Manabu Uda","Hidetomo Matsuda","December 1, 2016","20.7%"
"38","9","%INLINEQ%教授婦人会のドンが送り込んだ患者の罠!?%INLINEQ%","Takafumi Kosaka","Naoki Tamura","December 8, 2016","22.6%"
"39","10","%INLINEQ%母子同時オペ!? わずか25センチの命%INLINEQ%","Miho Nakazono","Hidetomo Matsuda","December 15, 2016","20.5%"
"40","11","%INLINEQ%さらば大門未知子!! さらば友よ…聖夜のオペも失敗しないので%INLINEQ%","Miho Nakazono","Naoki Tamura","December 22, 2016","22.8%"
