"Draw","Country","Artist","Song","Language","Place","Points"
"01","Belarus","Nadezhda Misyakova",""Sokal" (Сокал)","Belarusian","7","71"
"02","Bulgaria","Krisia, Hasan & Ibrahim",""Planet of the Children"","Bulgarian","2","147"
"03","San Marino","The Peppermints",""Breaking My Heart"","Italian, English","15","21"
"04","Croatia","Josie",""Game Over"","Croatian, English","16","13"
"05","Cyprus","Sophia Patsalides",""I pio omorfi mera" (Η πιο όμορφη μέρα)","Greek, English","9","69"
"06","Georgia","Lizi Pop",""Happy Day"","Georgian, English","11","54"
"07","Sweden","Julia Kedhammar",""Du är inte ensam"","Swedish, English","13","28"
"08","Ukraine","Sympho-Nick",""Spring Will Come"","Ukrainian, English","6","74"
"09","Slovenia","Ula Ložar",""Nisi sam (Your Light)"","Slovene, English","12","29"
"10","Montenegro","Maša Vujadinović & Lejla Vulić",""Budi dijete na jedan dan"","Montenegrin, English","14","24"
"11","Italy","Vincenzo Cantiello",""Tu primo grande amore"","Italian, English","1","159"
"12","Armenia","Betty",""People of the Sun"","Armenian, English","3","146"
"13","Russia","Alisa Kozhikina",""Dreamer"","Russian, English","5","96"
"14","Serbia","Emilija Đonin",""Svet u mojim očima" (Свет у мојим очима)","Serbian","10","61"
"15","Malta","Federica Falzon",""Diamonds"","English","4","116"
"16","Netherlands","Julia van Bergen",""Around"","Dutch, English","8","70"
